Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
18-Apr-08,Bangalore,India,18-Apr-08,,,M Chinnaswamy Stadium
19-Apr-08,Chandigarh,India,19-Apr-08,,,"Punjab Cricket Association Stadium, Mohali"
19-Apr-08,Delhi,India,19-Apr-08,,,Feroz Shah Kotla
20-Apr-08,Mumbai,India,20-Apr-08,,,Wankhede Stadium
20-Apr-08,Kolkata,India,20-Apr-08,,,Eden Gardens
21-Apr-08,Jaipur,India,21-Apr-08,,,Sawai Mansingh Stadium
22-Apr-08,Hyderabad,India,22-Apr-08,,,"Rajiv Gandhi International Stadium, Uppal"
23-Apr-08,Chennai,India,23-Apr-08,,,"MA Chidambaram Stadium, Chepauk"
24-Apr-08,Hyderabad,India,24-Apr-08,,,"Rajiv Gandhi International Stadium, Uppal"
25-Apr-08,Chandigarh,India,25-Apr-08,,,"Punjab Cricket Association Stadium, Mohali"
26-Apr-08,Bangalore,India,26-Apr-08,,,M Chinnaswamy Stadium
26-Apr-08,Chennai,India,26-Apr-08,,,"MA Chidambaram Stadium, Chepauk"
27-Apr-08,Mumbai,India,27-Apr-08,,,Dr DY Patil Sports Academy
27-Apr-08,Chandigarh,India,27-Apr-08,,,"Punjab Cricket Association Stadium, Mohali"
28-Apr-08,Bangalore,India,28-Apr-08,,,M Chinnaswamy Stadium
29-Apr-08,Kolkata,India,29-Apr-08,,,Eden Gardens
30-Apr-08,Delhi,India,30-Apr-08,,,Feroz Shah Kotla
1-May-08,Hyderabad,India,1-May-08,,,"Rajiv Gandhi International Stadium, Uppal"
1-May-08,Jaipur,India,1-May-08,,,Sawai Mansingh Stadium
2-May-08,Chennai,India,2-May-08,,,"MA Chidambaram Stadium, Chepauk"
25-May-08,Hyderabad,India,25-May-08,,,"Rajiv Gandhi International Stadium, Uppal"
3-May-08,Chandigarh,India,3-May-08,,,"Punjab Cricket Association Stadium, Mohali"
4-May-08,Mumbai,India,4-May-08,,,Dr DY Patil Sports Academy
4-May-08,Jaipur,India,4-May-08,,,Sawai Mansingh Stadium
5-May-08,Bangalore,India,5-May-08,,,M Chinnaswamy Stadium
6-May-08,Chennai,India,6-May-08,,,"MA Chidambaram Stadium, Chepauk"
7-May-08,Mumbai,India,7-May-08,,,Dr DY Patil Sports Academy
8-May-08,Delhi,India,8-May-08,,,Feroz Shah Kotla
8-May-08,Kolkata,India,8-May-08,,,Eden Gardens
9-May-08,Jaipur,India,9-May-08,,,Sawai Mansingh Stadium
28-May-08,Bangalore,India,28-May-08,,,M Chinnaswamy Stadium
10-May-08,Chennai,India,10-May-08,,,"MA Chidambaram Stadium, Chepauk"
11-May-08,Hyderabad,India,11-May-08,,,"Rajiv Gandhi International Stadium, Uppal"
11-May-08,Jaipur,India,11-May-08,,,Sawai Mansingh Stadium
12-May-08,Chandigarh,India,12-May-08,,,"Punjab Cricket Association Stadium, Mohali"
13-May-08,Kolkata,India,13-May-08,,,Eden Gardens
14-May-08,Mumbai,India,14-May-08,,,Wankhede Stadium
28-May-08,Chandigarh,India,28-May-08,,,"Punjab Cricket Association Stadium, Mohali"
15-May-08,Delhi,India,15-May-08,,,Feroz Shah Kotla
16-May-08,Mumbai,India,16-May-08,,,Wankhede Stadium
17-May-08,Delhi,India,17-May-08,,,Feroz Shah Kotla
17-May-08,Jaipur,India,17-May-08,,,Sawai Mansingh Stadium
18-May-08,Hyderabad,India,18-May-08,,,"Rajiv Gandhi International Stadium, Uppal"
18-May-08,Kolkata,India,18-May-08,,,Eden Gardens
19-May-08,Bangalore,India,19-May-08,,,M Chinnaswamy Stadium
20-May-08,Kolkata,India,20-May-08,,,Eden Gardens
21-May-08,Mumbai,India,21-May-08,,,Wankhede Stadium
21-May-08,Chennai,India,21-May-08,,,"MA Chidambaram Stadium, Chepauk"
23-May-08,Chandigarh,India,23-May-08,,,"Punjab Cricket Association Stadium, Mohali"
24-May-08,Delhi,India,24-May-08,,,Feroz Shah Kotla
24-May-08,Chennai,India,24-May-08,,,"MA Chidambaram Stadium, Chepauk"
3-May-08,Bangalore,India,3-May-08,,,M Chinnaswamy Stadium
25-May-08,Kolkata,India,25-May-08,,,Eden Gardens
26-May-08,Jaipur,India,26-May-08,,,Sawai Mansingh Stadium
27-May-08,Hyderabad,India,27-May-08,,,"Rajiv Gandhi International Stadium, Uppal"
30-May-08,Mumbai,India,30-May-08,,,Wankhede Stadium
31-May-08,Mumbai,India,31-May-08,,,Wankhede Stadium
1-Jun-08,Mumbai,India,1-Jun-08,,,Dr DY Patil Sports Academy
