Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
9-Apr-16,Mumbai,India,9-Apr-16,,,Wankhede Stadium
10-Apr-16,Kolkata,India,10-Apr-16,,,Eden Gardens
11-Apr-16,Chandigarh,India,11-Apr-16,,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
12-Apr-16,Bangalore,India,12-Apr-16,,,M Chinnaswamy Stadium
13-Apr-16,Kolkata,India,13-Apr-16,,,Eden Gardens
14-Apr-16,Rajkot,India,14-Apr-16,,,Saurashtra Cricket Association Stadium
15-Apr-16,Delhi,India,15-Apr-16,,,Feroz Shah Kotla
16-Apr-16,Hyderabad,India,16-Apr-16,,,"Rajiv Gandhi International Stadium, Uppal"
16-Apr-16,Mumbai,India,16-Apr-16,,,Wankhede Stadium
17-Apr-16,Chandigarh,India,17-Apr-16,,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
17-Apr-16,Bangalore,India,17-Apr-16,,,M Chinnaswamy Stadium
18-Apr-16,Hyderabad,India,18-Apr-16,,,"Rajiv Gandhi International Stadium, Uppal"
19-Apr-16,Chandigarh,India,19-Apr-16,,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
20-Apr-16,Mumbai,India,20-Apr-16,,,Wankhede Stadium
21-Apr-16,Rajkot,India,21-Apr-16,,,Saurashtra Cricket Association Stadium
22-Apr-16,Pune,India,22-Apr-16,,,Maharashtra Cricket Association Stadium
23-Apr-16,Delhi,India,23-Apr-16,,,Feroz Shah Kotla
23-Apr-16,Hyderabad,India,23-Apr-16,,,"Rajiv Gandhi International Stadium, Uppal"
24-Apr-16,Rajkot,India,24-Apr-16,,,Saurashtra Cricket Association Stadium
24-Apr-16,Pune,India,24-Apr-16,,,Maharashtra Cricket Association Stadium
25-Apr-16,Chandigarh,India,25-Apr-16,,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
26-Apr-16,Hyderabad,India,26-Apr-16,,,"Rajiv Gandhi International Stadium, Uppal"
27-Apr-16,Delhi,India,27-Apr-16,,,Feroz Shah Kotla
28-Apr-16,Mumbai,India,28-Apr-16,,,Wankhede Stadium
29-Apr-16,Pune,India,29-Apr-16,,,Maharashtra Cricket Association Stadium
30-Apr-16,Delhi,India,30-Apr-16,,,Feroz Shah Kotla
30-Apr-16,Hyderabad,India,30-Apr-16,,,"Rajiv Gandhi International Stadium, Uppal"
1-May-16,Rajkot,India,1-May-16,,,Saurashtra Cricket Association Stadium
1-May-16,Pune,India,1-May-16,,,Maharashtra Cricket Association Stadium
2-May-16,Bangalore,India,2-May-16,,,M Chinnaswamy Stadium
3-May-16,Rajkot,India,3-May-16,,,Saurashtra Cricket Association Stadium
4-May-16,Kolkata,India,4-May-16,,,Eden Gardens
5-May-16,Delhi,India,5-May-16,,,Feroz Shah Kotla
6-May-16,Hyderabad,India,6-May-16,,,"Rajiv Gandhi International Stadium, Uppal"
7-May-16,Bangalore,India,7-May-16,,,M Chinnaswamy Stadium
7-May-16,Chandigarh,India,7-May-16,,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
8-May-16,Visakhapatnam,India,8-May-16,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
8-May-16,Kolkata,India,8-May-16,,,Eden Gardens
9-May-16,Chandigarh,India,9-May-16,,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
10-May-16,Visakhapatnam,India,10-May-16,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
11-May-16,Bangalore,India,11-May-16,,,M Chinnaswamy Stadium
12-May-16,Hyderabad,India,12-May-16,,,"Rajiv Gandhi International Stadium, Uppal"
13-May-16,Visakhapatnam,India,13-May-16,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
14-May-16,Bangalore,India,14-May-16,,,M Chinnaswamy Stadium
14-May-16,Kolkata,India,14-May-16,,,Eden Gardens
15-May-16,Chandigarh,India,15-May-16,,,"Punjab Cricket Association IS Bindra Stadium, Mohali"
15-May-16,Visakhapatnam,India,15-May-16,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
16-May-16,Kolkata,India,16-May-16,,,Eden Gardens
17-May-16,Visakhapatnam,India,17-May-16,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
18-May-16,Bangalore,India,18-May-16,,,M Chinnaswamy Stadium
19-May-16,Kanpur,India,19-May-16,,,Green Park
20-May-16,Raipur,India,20-May-16,,,Shaheed Veer Narayan Singh International Stadium
21-May-16,Visakhapatnam,India,21-May-16,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
21-May-16,Kanpur,India,21-May-16,,,Green Park
22-May-16,Kolkata,India,22-May-16,,,Eden Gardens
22-May-16,Raipur,India,22-May-16,,,Shaheed Veer Narayan Singh International Stadium
24-May-16,Bangalore,India,24-May-16,,,M Chinnaswamy Stadium
25-May-16,Delhi,India,25-May-16,,,Feroz Shah Kotla
27-May-16,Delhi,India,27-May-16,,,Feroz Shah Kotla
29-May-16,Bangalore,India,29-May-16,,,M Chinnaswamy Stadium
