Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
18-Apr-09,Cape Town,South Africa,18-Apr-09,,,Newlands
18-Apr-09,Cape Town,South Africa,18-Apr-09,,,Newlands
19-Apr-09,Cape Town,South Africa,19-Apr-09,,,Newlands
19-Apr-09,Cape Town,South Africa,19-Apr-09,,,Newlands
20-Apr-09,Port Elizabeth,South Africa,20-Apr-09,,,St George's Park
21-Apr-09,Durban,South Africa,21-Apr-09,,,Kingsmead
22-Apr-09,Cape Town,South Africa,22-Apr-09,,,Newlands
23-Apr-09,Durban,South Africa,23-Apr-09,,,Kingsmead
23-Apr-09,Cape Town,South Africa,23-Apr-09,,,Newlands
24-Apr-09,Durban,South Africa,24-Apr-09,,,Kingsmead
25-Apr-09,Durban,South Africa,25-Apr-09,,,Kingsmead
26-Apr-09,Port Elizabeth,South Africa,26-Apr-09,,,St George's Park
26-Apr-09,Cape Town,South Africa,26-Apr-09,,,Newlands
27-Apr-09,Durban,South Africa,27-Apr-09,,,Kingsmead
27-Apr-09,Port Elizabeth,South Africa,27-Apr-09,,,St George's Park
28-Apr-09,Centurion,South Africa,28-Apr-09,,,SuperSport Park
29-Apr-09,Durban,South Africa,29-Apr-09,,,Kingsmead
29-Apr-09,Durban,South Africa,29-Apr-09,,,Kingsmead
30-Apr-09,Centurion,South Africa,30-Apr-09,,,SuperSport Park
30-Apr-09,Centurion,South Africa,30-Apr-09,,,SuperSport Park
1-May-09,East London,South Africa,1-May-09,,,Buffalo Park
1-May-09,Durban,South Africa,1-May-09,,,Kingsmead
2-May-09,Port Elizabeth,South Africa,2-May-09,,,St George's Park
2-May-09,Johannesburg,South Africa,2-May-09,,,New Wanderers Stadium
3-May-09,Port Elizabeth,South Africa,3-May-09,,,St George's Park
3-May-09,Johannesburg,South Africa,3-May-09,,,New Wanderers Stadium
4-May-09,East London,South Africa,4-May-09,,,Buffalo Park
5-May-09,Durban,South Africa,5-May-09,,,Kingsmead
5-May-09,Durban,South Africa,5-May-09,,,Kingsmead
6-May-09,Centurion,South Africa,6-May-09,,,SuperSport Park
7-May-09,Centurion,South Africa,7-May-09,,,SuperSport Park
7-May-09,Centurion,South Africa,7-May-09,,,SuperSport Park
8-May-09,East London,South Africa,8-May-09,,,Buffalo Park
9-May-09,Kimberley,South Africa,9-May-09,,,De Beers Diamond Oval
9-May-09,Kimberley,South Africa,9-May-09,,,De Beers Diamond Oval
10-May-09,Port Elizabeth,South Africa,10-May-09,,,St George's Park
10-May-09,Johannesburg,South Africa,10-May-09,,,New Wanderers Stadium
11-May-09,Kimberley,South Africa,11-May-09,,,De Beers Diamond Oval
12-May-09,Centurion,South Africa,12-May-09,,,SuperSport Park
12-May-09,Centurion,South Africa,12-May-09,,,SuperSport Park
13-May-09,Durban,South Africa,13-May-09,,,Kingsmead
14-May-09,Durban,South Africa,14-May-09,,,Kingsmead
14-May-09,Durban,South Africa,14-May-09,,,Kingsmead
15-May-09,Bloemfontein,South Africa,15-May-09,,,OUTsurance Oval
16-May-09,Port Elizabeth,South Africa,16-May-09,,,St George's Park
16-May-09,Johannesburg,South Africa,16-May-09,,,New Wanderers Stadium
17-May-09,Johannesburg,South Africa,17-May-09,,,New Wanderers Stadium
17-May-09,Bloemfontein,South Africa,17-May-09,,,OUTsurance Oval
18-May-09,Centurion,South Africa,18-May-09,,,SuperSport Park
19-May-09,Johannesburg,South Africa,19-May-09,,,New Wanderers Stadium
20-May-09,Durban,South Africa,20-May-09,,,Kingsmead
20-May-09,Durban,South Africa,20-May-09,,,Kingsmead
21-May-09,Centurion,South Africa,21-May-09,,,SuperSport Park
21-May-09,Centurion,South Africa,21-May-09,,,SuperSport Park
22-May-09,Centurion,South Africa,22-May-09,,,SuperSport Park
23-May-09,Johannesburg,South Africa,23-May-09,,,New Wanderers Stadium
24-May-09,Johannesburg,South Africa,24-May-09,,,New Wanderers Stadium
