Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
4-Apr-12,Chennai,India,4-Apr-12,,,"MA Chidambaram Stadium, Chepauk"
5-Apr-12,Kolkata,India,5-Apr-12,,,Eden Gardens
6-Apr-12,Mumbai,India,6-Apr-12,,,Wankhede Stadium
6-Apr-12,Jaipur,India,6-Apr-12,,,Sawai Mansingh Stadium
7-Apr-12,Bangalore,India,7-Apr-12,,,M Chinnaswamy Stadium
7-Apr-12,Visakhapatnam,India,7-Apr-12,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
8-Apr-12,Jaipur,India,8-Apr-12,,,Sawai Mansingh Stadium
8-Apr-12,Pune,India,8-Apr-12,,,Subrata Roy Sahara Stadium
9-Apr-12,Visakhapatnam,India,9-Apr-12,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
10-Apr-12,Bangalore,India,10-Apr-12,,,M Chinnaswamy Stadium
10-Apr-12,Delhi,India,10-Apr-12,,,Feroz Shah Kotla
11-Apr-12,Mumbai,India,11-Apr-12,,,Wankhede Stadium
12-Apr-12,Chennai,India,12-Apr-12,,,"MA Chidambaram Stadium, Chepauk"
12-Apr-12,Chandigarh,India,12-Apr-12,,,"Punjab Cricket Association Stadium, Mohali"
13-Apr-12,Kolkata,India,13-Apr-12,,,Eden Gardens
19-Apr-12,Delhi,India,19-Apr-12,,,Feroz Shah Kotla
14-Apr-12,Pune,India,14-Apr-12,,,Subrata Roy Sahara Stadium
15-Apr-12,Kolkata,India,15-Apr-12,,,Eden Gardens
15-Apr-12,Bangalore,India,15-Apr-12,,,M Chinnaswamy Stadium
16-Apr-12,Mumbai,India,16-Apr-12,,,Wankhede Stadium
17-Apr-12,Jaipur,India,17-Apr-12,,,Sawai Mansingh Stadium
17-Apr-12,Bangalore,India,17-Apr-12,,,M Chinnaswamy Stadium
18-Apr-12,Chandigarh,India,18-Apr-12,,,"Punjab Cricket Association Stadium, Mohali"
10-May-12,Hyderabad,India,10-May-12,,,"Rajiv Gandhi International Stadium, Uppal"
19-Apr-12,Chennai,India,19-Apr-12,,,"MA Chidambaram Stadium, Chepauk"
20-Apr-12,Chandigarh,India,20-Apr-12,,,"Punjab Cricket Association Stadium, Mohali"
21-Apr-12,Chennai,India,21-Apr-12,,,"MA Chidambaram Stadium, Chepauk"
21-Apr-12,Delhi,India,21-Apr-12,,,Feroz Shah Kotla
22-Apr-12,Mumbai,India,22-Apr-12,,,Wankhede Stadium
22-Apr-12,Cuttack,India,22-Apr-12,,,Barabati Stadium
