Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
8-Apr-15,Kolkata,India,8-Apr-15,,,Eden Gardens
9-Apr-15,Chennai,India,9-Apr-15,,,"MA Chidambaram Stadium, Chepauk"
10-Apr-15,Pune,India,10-Apr-15,,,Maharashtra Cricket Association Stadium
11-Apr-15,Chennai,India,11-Apr-15,,,"MA Chidambaram Stadium, Chepauk"
11-Apr-15,Kolkata,India,11-Apr-15,,,Eden Gardens
12-Apr-15,Delhi,India,12-Apr-15,,,Feroz Shah Kotla
12-Apr-15,Mumbai,India,12-Apr-15,,,Wankhede Stadium
13-Apr-15,Bangalore,India,13-Apr-15,,,M Chinnaswamy Stadium
14-Apr-15,Ahmedabad,India,14-Apr-15,,,"Sardar Patel Stadium, Motera"
30-Apr-15,Kolkata,India,30-Apr-15,,,Eden Gardens
15-Apr-15,Pune,India,15-Apr-15,,,Maharashtra Cricket Association Stadium
16-Apr-15,Visakhapatnam,India,16-Apr-15,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
17-Apr-15,Mumbai,India,17-Apr-15,,,Wankhede Stadium
18-Apr-15,Visakhapatnam,India,18-Apr-15,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
18-Apr-15,Pune,India,18-Apr-15,,,Maharashtra Cricket Association Stadium
19-Apr-15,Ahmedabad,India,19-Apr-15,,,"Sardar Patel Stadium, Motera"
19-Apr-15,Bangalore,India,19-Apr-15,,,M Chinnaswamy Stadium
20-Apr-15,Delhi,India,20-Apr-15,,,Feroz Shah Kotla
21-Apr-15,Ahmedabad,India,21-Apr-15,,,"Sardar Patel Stadium, Motera"
22-Apr-15,Visakhapatnam,India,22-Apr-15,,,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium
22-Apr-15,Bangalore,India,22-Apr-15,,,M Chinnaswamy Stadium
23-Apr-15,Delhi,India,23-Apr-15,,,Feroz Shah Kotla
24-Apr-15,Ahmedabad,India,24-Apr-15,,,"Sardar Patel Stadium, Motera"
25-Apr-15,Mumbai,India,25-Apr-15,,,Wankhede Stadium
25-Apr-15,Chennai,India,25-Apr-15,,,"MA Chidambaram Stadium, Chepauk"
26-Apr-15,Delhi,India,26-Apr-15,,,Feroz Shah Kotla
27-Apr-15,Chandigarh,India,27-Apr-15,,,"Punjab Cricket Association Stadium, Mohali"
7-May-15,Kolkata,India,7-May-15,,,Eden Gardens
29-Apr-15,Bangalore,India,29-Apr-15,,,M Chinnaswamy Stadium
28-Apr-15,Chennai,India,28-Apr-15,,,"MA Chidambaram Stadium, Chepauk"
1-May-15,Delhi,India,1-May-15,,,Feroz Shah Kotla
1-May-15,Mumbai,India,1-May-15,,,Wankhede Stadium
2-May-15,Bangalore,India,2-May-15,,,M Chinnaswamy Stadium
2-May-15,Hyderabad,India,2-May-15,,,"Rajiv Gandhi International Stadium, Uppal"
3-May-15,Chandigarh,India,3-May-15,,,"Punjab Cricket Association Stadium, Mohali"
3-May-15,Mumbai,India,3-May-15,,,Brabourne Stadium
4-May-15,Chennai,India,4-May-15,,,"MA Chidambaram Stadium, Chepauk"
4-May-15,Kolkata,India,4-May-15,,,Eden Gardens
5-May-15,Mumbai,India,5-May-15,,,Wankhede Stadium
6-May-15,Bangalore,India,6-May-15,,,M Chinnaswamy Stadium
7-May-15,Mumbai,India,7-May-15,,,Brabourne Stadium
8-May-15,Chennai,India,8-May-15,,,"MA Chidambaram Stadium, Chepauk"
9-May-15,Kolkata,India,9-May-15,,,Eden Gardens
9-May-15,Raipur,India,9-May-15,,,Shaheed Veer Narayan Singh International Stadium
10-May-15,Mumbai,India,10-May-15,,,Wankhede Stadium
10-May-15,Chennai,India,10-May-15,,,"MA Chidambaram Stadium, Chepauk"
11-May-15,Hyderabad,India,11-May-15,,,"Rajiv Gandhi International Stadium, Uppal"
12-May-15,Raipur,India,12-May-15,,,Shaheed Veer Narayan Singh International Stadium
13-May-15,Chandigarh,India,13-May-15,,,"Punjab Cricket Association Stadium, Mohali"
14-May-15,Mumbai,India,14-May-15,,,Wankhede Stadium
15-May-15,Hyderabad,India,15-May-15,,,"Rajiv Gandhi International Stadium, Uppal"
16-May-15,Chandigarh,India,16-May-15,,,"Punjab Cricket Association Stadium, Mohali"
16-May-15,Mumbai,India,16-May-15,,,Brabourne Stadium
17-May-15,Bangalore,India,17-May-15,,,M Chinnaswamy Stadium
17-May-15,Hyderabad,India,17-May-15,,,"Rajiv Gandhi International Stadium, Uppal"
19-May-15,Mumbai,India,19-May-15,,,Wankhede Stadium
20-May-15,Pune,India,20-May-15,,,Maharashtra Cricket Association Stadium
22-May-15,Ranchi,India,22-May-15,,,JSCA International Stadium Complex
24-May-15,Kolkata,India,24-May-15,,,Eden Gardens
