Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
8-Apr-11,Chennai,India,8-Apr-11,,,"MA Chidambaram Stadium, Chepauk"
9-Apr-11,Hyderabad,India,9-Apr-11,,,"Rajiv Gandhi International Stadium, Uppal"
9-Apr-11,Kochi,India,9-Apr-11,,,Nehru Stadium
10-Apr-11,Delhi,India,10-Apr-11,,,Feroz Shah Kotla
10-Apr-11,Mumbai,India,10-Apr-11,,,Dr DY Patil Sports Academy
11-Apr-11,Kolkata,India,11-Apr-11,,,Eden Gardens
12-Apr-11,Jaipur,India,12-Apr-11,,,Sawai Mansingh Stadium
12-Apr-11,Bangalore,India,12-Apr-11,,,M Chinnaswamy Stadium
13-Apr-11,Chandigarh,India,13-Apr-11,,,"Punjab Cricket Association Stadium, Mohali"
13-Apr-11,Mumbai,India,13-Apr-11,,,Dr DY Patil Sports Academy
14-Apr-11,Hyderabad,India,14-Apr-11,,,"Rajiv Gandhi International Stadium, Uppal"
15-Apr-11,Jaipur,India,15-Apr-11,,,Sawai Mansingh Stadium
15-Apr-11,Mumbai,India,15-Apr-11,,,Wankhede Stadium
16-Apr-11,Chennai,India,16-Apr-11,,,"MA Chidambaram Stadium, Chepauk"
16-Apr-11,Hyderabad,India,16-Apr-11,,,"Rajiv Gandhi International Stadium, Uppal"
17-Apr-11,Mumbai,India,17-Apr-11,,,Dr DY Patil Sports Academy
17-Apr-11,Kolkata,India,17-Apr-11,,,Eden Gardens
18-Apr-11,Kochi,India,18-Apr-11,,,Nehru Stadium
19-Apr-11,Delhi,India,19-Apr-11,,,Feroz Shah Kotla
20-Apr-11,Mumbai,India,20-Apr-11,,,Wankhede Stadium
20-Apr-11,Kolkata,India,20-Apr-11,,,Eden Gardens
21-Apr-11,Chandigarh,India,21-Apr-11,,,"Punjab Cricket Association Stadium, Mohali"
22-Apr-11,Mumbai,India,22-Apr-11,,,Wankhede Stadium
22-Apr-11,Kolkata,India,22-Apr-11,,,Eden Gardens
23-Apr-11,Delhi,India,23-Apr-11,,,Feroz Shah Kotla
24-Apr-11,Hyderabad,India,24-Apr-11,,,"Rajiv Gandhi International Stadium, Uppal"
24-Apr-11,Jaipur,India,24-Apr-11,,,Sawai Mansingh Stadium
25-Apr-11,Chennai,India,25-Apr-11,,,"MA Chidambaram Stadium, Chepauk"
26-Apr-11,Delhi,India,26-Apr-11,,,Feroz Shah Kotla
27-Apr-11,Mumbai,India,27-Apr-11,,,Dr DY Patil Sports Academy
27-Apr-11,Kochi,India,27-Apr-11,,,Nehru Stadium
28-Apr-11,Delhi,India,28-Apr-11,,,Feroz Shah Kotla
29-Apr-11,Jaipur,India,29-Apr-11,,,Sawai Mansingh Stadium
29-Apr-11,Bangalore,India,29-Apr-11,,,M Chinnaswamy Stadium
30-Apr-11,Kochi,India,30-Apr-11,,,Nehru Stadium
30-Apr-11,Kolkata,India,30-Apr-11,,,Eden Gardens
1-May-11,Jaipur,India,1-May-11,,,Sawai Mansingh Stadium
1-May-11,Chennai,India,1-May-11,,,"MA Chidambaram Stadium, Chepauk"
2-May-11,Mumbai,India,2-May-11,,,Wankhede Stadium
2-May-11,Delhi,India,2-May-11,,,Feroz Shah Kotla
3-May-11,Hyderabad,India,3-May-11,,,"Rajiv Gandhi International Stadium, Uppal"
4-May-11,Chennai,India,4-May-11,,,"MA Chidambaram Stadium, Chepauk"
4-May-11,Mumbai,India,4-May-11,,,Dr DY Patil Sports Academy
5-May-11,Kochi,India,5-May-11,,,Nehru Stadium
5-May-11,Hyderabad,India,5-May-11,,,"Rajiv Gandhi International Stadium, Uppal"
6-May-11,Bangalore,India,6-May-11,,,M Chinnaswamy Stadium
7-May-11,Kolkata,India,7-May-11,,,Eden Gardens
7-May-11,Mumbai,India,7-May-11,,,Wankhede Stadium
8-May-11,Bangalore,India,8-May-11,,,M Chinnaswamy Stadium
8-May-11,Chandigarh,India,8-May-11,,,"Punjab Cricket Association Stadium, Mohali"
9-May-11,Jaipur,India,9-May-11,,,Sawai Mansingh Stadium
10-May-11,Hyderabad,India,10-May-11,,,"Rajiv Gandhi International Stadium, Uppal"
10-May-11,Chandigarh,India,10-May-11,,,"Punjab Cricket Association Stadium, Mohali"
11-May-11,Jaipur,India,11-May-11,,,Sawai Mansingh Stadium
12-May-11,Chennai,India,12-May-11,,,"MA Chidambaram Stadium, Chepauk"
13-May-11,Indore,India,13-May-11,,,Holkar Cricket Stadium
14-May-11,Bangalore,India,14-May-11,,,M Chinnaswamy Stadium
14-May-11,Mumbai,India,14-May-11,,,Wankhede Stadium
15-May-11,Dharamsala,India,15-May-11,,,Himachal Pradesh Cricket Association Stadium
15-May-11,Indore,India,15-May-11,,,Holkar Cricket Stadium
16-May-11,Mumbai,India,16-May-11,,,Dr DY Patil Sports Academy
17-May-11,Dharamsala,India,17-May-11,,,Himachal Pradesh Cricket Association Stadium
18-May-11,Chennai,India,18-May-11,,,"MA Chidambaram Stadium, Chepauk"
19-May-11,Mumbai,India,19-May-11,,,Dr DY Patil Sports Academy
20-May-11,Mumbai,India,20-May-11,,,Wankhede Stadium
21-May-11,Dharamsala,India,21-May-11,,,Himachal Pradesh Cricket Association Stadium
21-May-11,Delhi,India,21-May-11,,,Feroz Shah Kotla
22-May-11,Bangalore,India,22-May-11,,,M Chinnaswamy Stadium
22-May-11,Kolkata,India,22-May-11,,,Eden Gardens
24-May-11,Mumbai,India,24-May-11,,,Wankhede Stadium
25-May-11,Mumbai,India,25-May-11,,,Wankhede Stadium
27-May-11,Chennai,India,27-May-11,,,"MA Chidambaram Stadium, Chepauk"
28-May-11,Chennai,India,28-May-11,,,"MA Chidambaram Stadium, Chepauk"
