Match_Date,City_Name,Host_Country,Match_Date,lat,lng,Venue_Name
12-Mar-10,Mumbai,India,12-Mar-10,,,Dr DY Patil Sports Academy
13-Mar-10,Mumbai,India,13-Mar-10,,,Brabourne Stadium
13-Mar-10,Chandigarh,India,13-Mar-10,,,"Punjab Cricket Association Stadium, Mohali"
14-Mar-10,Kolkata,India,14-Mar-10,,,Eden Gardens
14-Mar-10,Chennai,India,14-Mar-10,,,"MA Chidambaram Stadium, Chepauk"
15-Mar-10,Ahmedabad,India,15-Mar-10,,,"Sardar Patel Stadium, Motera"
16-Mar-10,Bangalore,India,16-Mar-10,,,M Chinnaswamy Stadium
16-Mar-10,Kolkata,India,16-Mar-10,,,Eden Gardens
17-Mar-10,Delhi,India,17-Mar-10,,,Feroz Shah Kotla
18-Mar-10,Bangalore,India,18-Mar-10,,,M Chinnaswamy Stadium
19-Mar-10,Delhi,India,19-Mar-10,,,Feroz Shah Kotla
19-Mar-10,Cuttack,India,19-Mar-10,,,Barabati Stadium
20-Mar-10,Ahmedabad,India,20-Mar-10,,,"Sardar Patel Stadium, Motera"
20-Mar-10,Mumbai,India,20-Mar-10,,,Brabourne Stadium
21-Mar-10,Cuttack,India,21-Mar-10,,,Barabati Stadium
21-Mar-10,Chennai,India,21-Mar-10,,,"MA Chidambaram Stadium, Chepauk"
22-Mar-10,Mumbai,India,22-Mar-10,,,Brabourne Stadium
23-Mar-10,Bangalore,India,23-Mar-10,,,M Chinnaswamy Stadium
24-Mar-10,Chandigarh,India,24-Mar-10,,,"Punjab Cricket Association Stadium, Mohali"
25-Mar-10,Mumbai,India,25-Mar-10,,,Brabourne Stadium
26-Mar-10,Ahmedabad,India,26-Mar-10,,,"Sardar Patel Stadium, Motera"
27-Mar-10,Chandigarh,India,27-Mar-10,,,"Punjab Cricket Association Stadium, Mohali"
25-Mar-10,Bangalore,India,25-Mar-10,,,M Chinnaswamy Stadium
28-Mar-10,Ahmedabad,India,28-Mar-10,,,"Sardar Patel Stadium, Motera"
28-Mar-10,Mumbai,India,28-Mar-10,,,Dr DY Patil Sports Academy
29-Mar-10,Delhi,India,29-Mar-10,,,Feroz Shah Kotla
30-Mar-10,Mumbai,India,30-Mar-10,,,Brabourne Stadium
31-Mar-10,Chennai,India,31-Mar-10,,,"MA Chidambaram Stadium, Chepauk"
31-Mar-10,Delhi,India,31-Mar-10,,,Feroz Shah Kotla
1-Apr-10,Kolkata,India,1-Apr-10,,,Eden Gardens
2-Apr-10,Chandigarh,India,2-Apr-10,,,"Punjab Cricket Association Stadium, Mohali"
3-Apr-10,Chennai,India,3-Apr-10,,,"MA Chidambaram Stadium, Chepauk"
3-Apr-10,Mumbai,India,3-Apr-10,,,Brabourne Stadium
4-Apr-10,Kolkata,India,4-Apr-10,,,Eden Gardens
4-Apr-10,Delhi,India,4-Apr-10,,,Feroz Shah Kotla
5-Apr-10,Nagpur,India,5-Apr-10,,,"Vidarbha Cricket Association Stadium, Jamtha"
6-Apr-10,Chennai,India,6-Apr-10,,,"MA Chidambaram Stadium, Chepauk"
7-Apr-10,Jaipur,India,7-Apr-10,,,Sawai Mansingh Stadium
7-Apr-10,Kolkata,India,7-Apr-10,,,Eden Gardens
8-Apr-10,Bangalore,India,8-Apr-10,,,M Chinnaswamy Stadium
9-Apr-10,Chandigarh,India,9-Apr-10,,,"Punjab Cricket Association Stadium, Mohali"
10-Apr-10,Nagpur,India,10-Apr-10,,,"Vidarbha Cricket Association Stadium, Jamtha"
10-Apr-10,Bangalore,India,10-Apr-10,,,M Chinnaswamy Stadium
11-Apr-10,Delhi,India,11-Apr-10,,,Feroz Shah Kotla
11-Apr-10,Jaipur,India,11-Apr-10,,,Sawai Mansingh Stadium
12-Apr-10,Nagpur,India,12-Apr-10,,,"Vidarbha Cricket Association Stadium, Jamtha"
13-Apr-10,Mumbai,India,13-Apr-10,,,Brabourne Stadium
13-Apr-10,Chennai,India,13-Apr-10,,,"MA Chidambaram Stadium, Chepauk"
14-Apr-10,Jaipur,India,14-Apr-10,,,Sawai Mansingh Stadium
15-Apr-10,Chennai,India,15-Apr-10,,,"MA Chidambaram Stadium, Chepauk"
16-Apr-10,Dharamsala,India,16-Apr-10,,,Himachal Pradesh Cricket Association Stadium
17-Apr-10,Bangalore,India,17-Apr-10,,,M Chinnaswamy Stadium
17-Apr-10,Kolkata,India,17-Apr-10,,,Eden Gardens
18-Apr-10,Dharamsala,India,18-Apr-10,,,Himachal Pradesh Cricket Association Stadium
18-Apr-10,Delhi,India,18-Apr-10,,,Feroz Shah Kotla
19-Apr-10,Kolkata,India,19-Apr-10,,,Eden Gardens
21-Apr-10,Mumbai,India,21-Apr-10,,,Dr DY Patil Sports Academy
22-Apr-10,Mumbai,India,22-Apr-10,,,Dr DY Patil Sports Academy
24-Apr-10,Mumbai,India,24-Apr-10,,,Dr DY Patil Sports Academy
25-Apr-10,Mumbai,India,25-Apr-10,,,Dr DY Patil Sports Academy
